,"MSE(GT,blurred)","MSE(Res*K, blurred)","SSIM(GT,blurred)","SSIM(Res*K, blurred)"
0,0.017341209559982505,0.0038282023767092863,0.599976950689303,0.95049826881698
1,0.008988978404255214,0.0048082079580153165,0.6912539522345444,0.941486406606729
2,0.022213683664712117,0.007725386845608844,0.2999711940559128,0.9814480554628559
3,0.00322948315071493,0.0045463672363410665,0.8285704196853629,0.9811372649847363
4,0.014068462941509149,0.00381406344090744,0.5083145673293816,0.9515554074235517
5,0.029299370561610368,0.0053906034011319,0.5107262007218222,0.9615778703343243
6,0.023342133584292213,0.0017589361651513908,0.2889121183666934,0.9722041257238969
7,0.020287157052893977,0.002432878120875782,0.6517779506189119,0.9433222501576635
8,0.008900886037141348,0.0038160701096659516,0.7069747817694466,0.973907712831338
9,0.016858052627338506,0.003906556063238525,0.6412697220911963,0.9743202751395845
10,0.02259221691083074,0.004102216050911864,0.4105647127602404,0.9483683765149523
11,0.00875351769378972,0.0017578800336878707,0.6005687564257323,0.8305663970819702
12,0.010153284876327894,0.0063330917810789315,0.6658862223375916,0.975795319242284
13,0.010434155947463088,0.012425664054483077,0.761050067603542,0.9599423585890119
14,0.008853288651811626,0.0021451080635000366,0.6085773960430008,0.9655178610913994
15,0.005014405086507466,0.0009625071642738315,0.6195421245150876,0.9530460104842021
16,0.00750643095705594,0.0051834348957469955,0.7406695309227013,0.9798733974447649
17,0.03385465997464771,0.005125134653287842,0.3729621408136495,0.9675599125586329
18,0.0056725650724522726,0.0023981278327349356,0.6243315282653837,0.9590262749161538
19,0.0036466884760173114,0.0001902920148825954,0.6900115009613685,0.9911002133057343
20,0.023030113488610456,0.0070678996666099034,0.3670793562422151,0.9652769903831666
21,0.010998839599313434,0.0020444807341863957,0.5452830281318652,0.969232365215729
22,0.008471725181011396,0.0010339738297504395,0.6011905887448286,0.941137567339293
23,0.008569032949330882,0.0069930373034705106,0.6861145060477092,0.9569395435433082
24,0.015638071072649074,0.001624855987287963,0.48969087314818577,0.9420865313432546
25,0.027703570085024644,0.003852775856283259,0.6553083063108628,0.9344596880788829
26,0.03309645761317066,0.004859259866950559,0.29792858069824896,0.9278934984071093
27,0.010267379707318409,0.0044601224739377904,0.657697389535871,0.9673749949671385
28,0.005726213200417653,0.011538273457129723,0.7508783550633052,0.9724648696387592
29,0.014517289702584903,0.0021996588094326526,0.4565429913078525,0.9492010965618958
30,0.023667396318884263,0.004525509885043471,0.2742717822253233,0.9460659777860017
31,0.013133607955564048,0.003672597022081447,0.5395485535061559,0.9502662092208237
32,0.019191632643480474,0.0027587741016103663,0.34510204489455854,0.9442519253373529
33,0.012080381697026108,0.010583455860323998,0.7448906123259983,0.9749185801133073
34,0.007824267400306483,0.0014938569751229655,0.6123717565056659,0.9615141455469706
35,0.009091315726391828,0.004196413182526981,0.6304311983372045,0.9845137003404186
36,0.009050390683929453,0.0013136443137866751,0.5387042103080926,0.971936856545989
37,0.013210293046689093,0.00801978121297849,0.5856296581035583,0.9704890382283065
38,0.028090843395173128,0.0017323148924506056,0.21181590318032498,0.9493955981000005
39,0.015212776920690212,0.00858374046343905,0.6459601451363614,0.9773021872355603
40,0.007345171868547473,0.00316476922879853,0.5726206886205251,0.9449271415053823
41,0.020735928188752625,0.004479145395244454,0.43153554773388536,0.9584287479131387
42,0.034820894950852235,0.004143718382749904,0.31693750909694085,0.9604034724176658
43,0.012482202630804797,0.0039304478003332095,0.564966996839435,0.973407184285961
44,0.0182286567206539,0.0015384127479253378,0.534747874354677,0.9659567679658123
45,0.017598677508229698,0.006182047654148921,0.6638254089051118,0.9724094531974635
46,0.00551377648420197,0.0004200228125129879,0.7361611629092691,0.9409006163840787
47,0.005419774810907291,0.0012638312518347802,0.7251755417116609,0.9578337383591747
48,0.013229303179482517,0.002604794997522061,0.6521286355986305,0.9636019549972193
49,0.012266099417081802,0.001742941394614137,0.4028275840820125,0.9567835205318795
50,0.02131127089613447,0.003154727703970715,0.5617917838340788,0.9557105614667489
51,0.012072398229499015,0.0016576180419282786,0.550633719496734,0.9493382903849723
52,0.006458832761341845,0.0065845919829867015,0.7406550470052062,0.9455583447817044
53,0.019553207151868004,0.005146411855783413,0.35770106271290547,0.9514721559305174
54,0.01761831571069292,0.005024715258205644,0.3964494029432628,0.9695236298175948
55,0.0031392870626879834,0.001578915915622346,0.8122834778506207,0.9563419994593136
56,0.04384002736319551,0.00466291032435098,0.2602538115104456,0.9317242929280316
57,0.005646064974367193,0.002209486869832666,0.7790857830275015,0.9655576030840632
58,0.016129278863408612,0.008088432737385687,0.5708465628199162,0.9736369506347023
59,0.008868752881348646,0.005167170152570209,0.6848278614113036,0.9539637044726155
60,0.029428016587100397,0.0016648107046303997,0.2641735429767736,0.9540568899192116
61,0.010540212704590279,0.0038541740473922613,0.6285132321614694,0.9649560904251264
62,0.019054093811695098,0.005613136019941518,0.5997036410380175,0.9383840871691312
63,0.021755176220093334,0.0029053946620495054,0.5049180627504696,0.9388109053024065
64,0.014288077877982273,0.001993970480081461,0.5082475835388616,0.9732697640990687
65,0.022325675144796428,0.006250126038961087,0.5442644587266223,0.9765254188092612
66,0.0248426809470708,0.0029369883795491683,0.5002039013823791,0.9525288541954473
67,0.01901752221200744,0.004540069207868692,0.5635850157635692,0.9501543222046159
68,0.020261074328387203,0.008783066913548257,0.6387420479790599,0.9769308350365186
69,0.02002070707915301,0.0027700625555758494,0.5703515212463576,0.967902125609053
70,0.009137479089354184,0.004337463017826787,0.6414239488243881,0.9804679048326717
71,0.005272217421609091,0.007474266462797582,0.8682146020048673,0.9704206669367086
72,0.0250344125583386,0.0029692862001776746,0.4467032529994059,0.9774234716877785
73,0.01038416590444374,0.003102740018492388,0.6240060520439079,0.9612835746200945
74,0.013870956440015288,0.005250458713297964,0.5711410389190991,0.982466051417252
75,0.009998309043622646,0.014404753147260639,0.8325616360771921,0.972617262831613
76,0.005556563114263014,0.009471304505108897,0.835279114326119,0.9809109034767837
77,0.022225842437948038,0.005409213425743715,0.4827684990636997,0.9818795465939397
78,0.020289024607533377,0.0038730672266532305,0.47529097706752205,0.9866251279426312
79,0.02675669322447629,0.004879144196569151,0.32936766924274913,0.9836812695553435
80,0.004936332057892238,0.0014738985760858912,0.8261701905899502,0.9814305938674345
81,0.021927621878061986,0.002846344657829586,0.4020318166242498,0.9322907108617856
82,0.04092745815939188,0.004810941437650582,0.2533264886235056,0.9830523229666367
83,0.00471523135898381,0.0034969165146343296,0.7136390906431225,0.9512235164919364
84,0.010615329267618651,0.006452740756532758,0.6036486648740531,0.9617226119035519
85,0.013268211889060407,0.0034493804936796533,0.6225009840504826,0.956317236237838
86,0.017426108764170396,0.0021225156176460478,0.559731280904131,0.9871105741479809
87,0.016142839385454036,0.006987371883818915,0.5601485042984998,0.9674174451532921
88,0.018745147028020107,0.009404540727638135,0.5783465641085187,0.9710369244752431
89,0.011659183964372346,0.00925147035870285,0.6782466595401738,0.9628179913679443
90,0.008168880282554865,0.001603082030341714,0.7164764324416621,0.963946022737914
91,0.03124421930082383,0.0012139085955612905,0.35279280752336034,0.9716711911189586
92,0.007739955584140498,0.0020382969801601603,0.7139202918466389,0.9747381840915195
93,0.026134211697254238,0.0070676162761894165,0.575074143539331,0.9681720383891729
94,0.015390184538592637,0.004533436659161563,0.5860194477839944,0.9519262405710711
95,0.05123535263925539,0.003416258775305995,0.2869712122120181,0.9444159271686418
96,0.03044946967113786,0.004431934596405442,0.37207954781012426,0.9671022263003024
97,0.03821169642536482,0.004568446894018334,0.33963381954760047,0.9494283047057872
98,0.0052512530333740535,0.0063254954707204466,0.7435653804528718,0.9693681957102213
99,0.017049447493980206,0.0032660864225104004,0.5238528386090344,0.9579395872289749
